country,Taxa_de_Pobreza,Indice_de_Watts
Afghanistan,0.494,0.2876
Albania,0.000212773636,1.1841587e-05
Algeria,0.004554675293,0.001449977811
Angola,0.311220062314,0.180668963731
Argentina,0.006118898376,0.00239152619
Armenia,0.007810782514,0.001009142191
Australia,0.004970939722,0.014309158044
Austria,0.004858221894,0.008566683442
Azerbaijan,0.0,0.0
Bangladesh,0.050084958731,0.009635385153
Belarus,0.0,0.0
Belgium,0.000299653714,0.000400769472
Belize,0.195569282913,0.133041352366
Benin,0.127232785827,0.035922146611
Bhutan,1.5388477e-05,1.66143e-07
