data_criacao,total_de_videos_publicado
2005,147296
2006,774486
2007,505846
2008,459067
2009,502074
2010,240460
2011,844518
2012,127290
2013,299410
2014,695840
2015,162622
2016,397236
2017,615946
2018,224255
2019,131403
2020,234545
2021,287887
2022,57381
2023,24601
2024,1919
