data_criacao,total_de_visualizacoes
2005,112912925638.1521
2006,841348380854.4131
2007,325947717586.29205
2008,214292970612.08417
2009,191179634666.11557
2010,127930842534.80048
2011,401764779380.8931
2012,337600059816.51447
2013,317497693985.1348
2014,511689049566.9827
2015,420628601277.7266
2016,549644391190.121
2017,350846867389.7042
2018,318000048402.97437
2019,283419430431.886
2020,507045964866.3374
2021,558907825373.8682
2022,121434369593.45226
2023,47647513619.614494
2024,2867093739.0
