data_criacao,taxa_crescimento
2006,5.100485328379713
2007,-0.6193795440443475
2008,-0.14384528937401397
2009,-0.031072397768522553
2010,-0.2136436863345621
2011,1.6937686854009248
2012,0.11785320866585836
2013,-0.08904215144596395
2014,0.46105013709629783
2015,-0.18606094679235474
2016,-0.002552284591095355
2017,-0.25546109243050297
2018,-0.1652647584285445
2019,0.014514969511327802
2020,0.7657199886909949
2021,0.11311391827498252
2022,-0.6797557673207366
2023,-0.7281792050452651
2024,-0.9216792256317086
